GeneSet	NGenes	Correlation	Direction	PValue	FDR
DESCARTES_FETAL_CEREBRUM_MICROGLIA	369	0.00750788596763566	Down	0.0019392210084641	0.782131129961231
DESCARTES_FETAL_PLACENTA_IGFBP1_DKK1_POSITIVE_CELLS	43	0.00390865888215646	Down	0.00329638295856392	0.782131129961231
GOBP_REGULATION_OF_HORMONE_LEVELS	277	-0.00052413194321425	Down	0.00373223922164036	0.782131129961231
NABA_SECRETED_FACTORS	125	0.00844338632821866	Down	0.00421657007202556	0.782131129961231
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE	38	0.00701472152612294	Up	0.00446233745314128	0.782131129961231
HP_OVERGROWTH_OF_EXTERNAL_GENITALIA	8	-0.0291283469513942	Down	0.00486987923902994	0.782131129961231
CHANDRAN_METASTASIS_DN	219	-0.00183089159161691	Down	0.00524819552858576	0.782131129961231
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE	320	0.000733931077070123	Down	0.00548599446189474	0.782131129961231
GOBP_NEGATIVE_REGULATION_OF_DENDRITIC_CELL_APOPTOTIC_PROCESS	5	0.0969040045704524	Down	0.0055239448281016	0.782131129961231
GOMF_MUTLALPHA_COMPLEX_BINDING	7	-0.0609043171909813	Up	0.00572931228702933	0.782131129961231
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	314	0.000724202180386065	Down	0.00624576800286678	0.782131129961231
GOMF_MISMATCH_REPAIR_COMPLEX_BINDING	11	0.0353874832399359	Up	0.0069066330329534	0.782131129961231
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	17	0.0458806832872365	Up	0.00695580495348915	0.782131129961231
LIM_MAMMARY_STEM_CELL_UP	298	0.000505276985973319	Down	0.00698662501043952	0.782131129961231
GOBP_CARNITINE_TRANSPORT	4	-0.0729840240214414	Down	0.00723756198426298	0.782131129961231
CUI_DEVELOPING_HEART_C5_VALVAR_CELL	136	-0.00352884193887366	Down	0.00743680522206547	0.782131129961231
GOBP_PHAGOCYTOSIS_RECOGNITION	12	-0.0420200138680959	Down	0.00758983533026859	0.782131129961231
ENGELMANN_CANCER_PROGENITORS_DN	45	0.00406694913655451	Down	0.00776066194005264	0.782131129961231
GOBP_NEURONAL_ION_CHANNEL_CLUSTERING	6	-0.00459013631193521	Down	0.00776602803161195	0.782131129961231
GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	126	0.00204501301810927	Down	0.00777061130202855	0.782131129961231
WANG_LSD1_TARGETS_DN	18	0.000448555524974431	Down	0.00795328759752276	0.782131129961231
GOBP_POSITIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE	7	-0.0233370541060637	Down	0.00809168478036702	0.782131129961231
GOBP_APOPTOTIC_CELL_CLEARANCE	44	-0.00136589602440842	Down	0.00846242988850133	0.782131129961231
GOMF_RECEPTOR_ANTAGONIST_ACTIVITY	8	-0.0286775176229336	Down	0.00863282122930248	0.782131129961231
GOMF_NUCLEAR_RECEPTOR_ACTIVITY	34	0.00609124612229807	Down	0.00868934239521741	0.782131129961231
BROWNE_HCMV_INFECTION_2HR_UP	25	0.00837237490802807	Down	0.00882715966361054	0.782131129961231
GOCC_INTRINSIC_COMPONENT_OF_THE_CYTOPLASMIC_SIDE_OF_THE_PLASMA_MEMBRANE	6	-0.0224891310122619	Down	0.008957768422982	0.782131129961231
GOBP_REGULATION_OF_CHEMOTAXIS	145	-0.00269440037724826	Down	0.00902907693651573	0.782131129961231
GOBP_ENDOTHELIAL_CELL_CHEMOTAXIS	15	0.0590006654588699	Down	0.0091963310823866	0.782131129961231
DESCARTES_MAIN_FETAL_LYMPHATIC_ENDOTHELIAL_CELLS	44	0.00780545144569907	Down	0.00925347387716806	0.782131129961231
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_EFFLUX	19	0.0188357795497652	Down	0.00950767284645669	0.782131129961231
DESCARTES_FETAL_PANCREAS_MYELOID_CELLS	186	0.0107867894493722	Down	0.00957316753663843	0.782131129961231
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	193	0.0103135714465307	Down	0.00963622035011335	0.782131129961231
